source,source_name,target,target_name,cluster,coef_mean,coef_abs,p,-logp,network,TF_target,cell_wall_related_gene
AT1G69780,ATHB-13,AT5G07110,PRA1B6,Elongation_Cortex_BRZ_4_BL,0.008366002,0.008366002,3.396483736364271e-15,14.46897046063285,Cortex,AT1G69780_AT5G07110,FALSE
AT5G15150,HAT7,AT3G13650,DIR7,Elongation_Cortex_BRZ_2_BL,-0.008359649,0.008359649,6.0242814554293965e-12,11.220094746023086,Cortex,AT5G15150_AT3G13650,FALSE
AT5G15150,HAT7,AT1G79940,ERDJ2A,Elongation_Cortex_BRZ_0_5_BL,0.008359598,0.008359598,1.7462592527887987e-10,9.75789127970412,Cortex,AT5G15150_AT1G79940,FALSE
AT1G33240,AT-GTL1,AT5G62610,BHLH79,Elongation_Cortex_BRZ_2_BL,0.008359565,0.008359565,1.8677866716576735e-11,10.728672728005572,Cortex,AT1G33240_AT5G62610,FALSE
AT1G33240,AT-GTL1,AT5G05270,CHI3,Elongation_Cortex_BRZ_1_BL,0.008359322,0.008359322,2.3346441488804177e-12,11.631779306085013,Cortex,AT1G33240_AT5G05270,FALSE
AT5G15150,HAT7,AT1G64330,AT1G64330,Elongation_Cortex_BRZ_8_BL,0.008357897,0.008357897,6.367805835035781e-10,9.196010187427756,Cortex,AT5G15150_AT1G64330,FALSE
AT3G01220,ATHB-20,AT1G78340,GSTU22,Elongation_Cortex_BRZ,-0.008356232,0.008356232,5.83173028041906e-13,12.234202570498459,Cortex,AT3G01220_AT1G78340,FALSE
AT1G33240,AT-GTL1,AT1G32150,BZIP68,Elongation_Cortex_BRZ,0.008355516,0.008355516,6.094858742125428e-13,12.215036355382164,Cortex,AT1G33240_AT1G32150,FALSE
AT1G69780,ATHB-13,AT2G40330,PYL6,Elongation_Cortex_BRZ_2_BL,0.008355246,0.008355246,5.013163466363689e-14,13.29988813393028,Cortex,AT1G69780_AT2G40330,FALSE
AT1G33240,AT-GTL1,AT1G04820,TUBA4,Elongation_Cortex_BRZ_4_BL,0.00835381,0.00835381,3.2149288143523065e-17,16.49282863887545,Cortex,AT1G33240_AT1G04820,FALSE
AT1G69780,ATHB-13,AT1G47480,CXE2,Elongation_Cortex_BRZ_0_5_BL,-0.008353538,0.008353538,4.035453242773544e-12,11.394107680327044,Cortex,AT1G69780_AT1G47480,FALSE
AT1G33240,AT-GTL1,AT4G31470,AT4G31470,Elongation_Cortex_BRZ_4_BL,0.008349731,0.008349731,1.0536874984784491e-8,7.977288172624336,Cortex,AT1G33240_AT4G31470,FALSE
AT1G33240,AT-GTL1,AT4G03390,SRF3,Elongation_Cortex_BRZ_1_BL,0.008349686,0.008349686,6.556220818549666e-14,13.183346427483691,Cortex,AT1G33240_AT4G03390,FALSE
AT1G26960,ATHB-23,AT2G41110,CAM2,Elongation_Cortex_BRZ_4_BL,0.008348033,0.008348033,4.4881651607598075e-11,10.347931169780678,Cortex,AT1G26960_AT2G41110,FALSE
AT1G26960,ATHB-23,AT1G08600,ATRX,Elongation_Cortex_BRZ_4_BL,0.008348017,0.008348017,8.119534933752995e-12,11.090468845326436,Cortex,AT1G26960_AT1G08600,FALSE
AT1G26960,ATHB-23,AT1G58360,AAP1,Elongation_Cortex_BRZ_2_BL,-0.0083479155,0.0083479155,1.928115790440497e-8,7.714866888670029,Cortex,AT1G26960_AT1G58360,FALSE
AT1G26960,ATHB-23,AT5G10770,AT5G10770,Elongation_Cortex_BRZ_8_BL,-0.008344964,0.008344964,7.471320851278539e-18,17.12660261268098,Cortex,AT1G26960_AT5G10770,FALSE
AT1G26960,ATHB-23,AT4G30410,IBL1,Elongation_Cortex_BRZ_0_5_BL,0.008344228,0.008344228,1.0406379558626925e-16,15.982700337846955,Cortex,AT1G26960_AT4G30410,FALSE
AT1G33240,AT-GTL1,AT5G38560,PERK8,Elongation_Cortex_BRZ_4_BL,0.008343401,0.008343401,1.630582672848306e-14,13.787657176955168,Cortex,AT1G33240_AT5G38560,FALSE
