regulator,regulator site,interaction,target,target site,Time,Type,Pearson,Spearman,Weight
AT1G04240,,regulates,AT4G10770,,8hr,TF-Abundance,,,0.806208543
AT1G04240,,regulates,AT4G14560,,8hr,TF-Abundance,,,0.874732511
AT1G04240,,regulates,AT4G16515,,8hr,TF-Abundance,,,0.878891045
AT1G04240,,regulates,AT4G20170,,8hr,TF-Abundance,,,0.850238759
AT1G04240,,regulates,AT4G20300,,8hr,TF-Abundance,,,0.796251215
AT1G04240,,regulates,AT4G21740,,8hr,TF-Abundance,,,0.857201765
AT1G04240,,regulates,AT4G23180,,8hr,TF-Abundance,,,0.786618071
AT1G04240,,regulates,AT4G24570,,8hr,TF-Abundance,,,0.851570635
AT1G04240,,regulates,AT4G30440,,8hr,TF-Abundance,,,0.798014973
AT1G04240,,regulates,AT5G09760,,8hr,TF-Abundance,,,0.807032455
AT1G04240,,regulates,AT5G50740,,8hr,TF-Abundance,,,0.800331447
AT1G04240,,regulates,AT5G50915,,8hr,TF-Abundance,,,0.815851307
AT1G04240,,regulates,AT5G52900,,8hr,TF-Abundance,,,0.926837902
AT1G04240,,regulates,AT5G53250,,8hr,TF-Abundance,,,0.811916606
AT1G04240,,regulates,AT5G62220,,8hr,TF-Abundance,,,0.791538098
AT1G06160,,regulates,AT1G05560,,8hr,TF-Abundance,,,0.82161962
AT1G06160,,regulates,AT1G13960,,8hr,TF-Abundance,,,0.811671462
AT1G06160,,regulates,AT1G21360,,8hr,TF-Abundance,,,0.825425877
AT1G06160,,regulates,AT1G66350,,8hr,TF-Abundance,,,0.659711386
AT1G06160,,regulates,AT1G76560,,8hr,TF-Abundance,,,0.729067471
AT1G06160,,regulates,AT1G79410,,8hr,TF-Abundance,,,0.853700428
AT1G06160,,regulates,AT2G18750,,8hr,TF-Abundance,,,0.820771723
AT1G06160,,regulates,AT2G25450,,8hr,TF-Abundance,,,0.744617452
AT1G06160,,regulates,AT2G28960,,8hr,TF-Abundance,,,0.774159778
AT1G06160,,regulates,AT2G29420,,8hr,TF-Abundance,,,0.765598266
AT1G06160,,regulates,AT2G34140,,8hr,TF-Abundance,,,0.690492585
AT1G06160,,regulates,AT3G05800,,8hr,TF-Abundance,,,0.766014779
AT1G06160,,regulates,AT3G25440,,8hr,TF-Abundance,,,0.699456383
AT1G06160,,regulates,AT3G51600,,8hr,TF-Abundance,,,0.694800895
AT1G06160,,regulates,AT4G12480,,8hr,TF-Abundance,,,0.848597783
AT1G06160,,regulates,AT4G13180,,8hr,TF-Abundance,,,0.714133352
AT1G06160,,regulates,AT4G13510,,8hr,TF-Abundance,,,0.840738034
AT1G06160,,regulates,AT4G15990,,8hr,TF-Abundance,,,1
AT1G06160,,regulates,AT4G22212,,8hr,TF-Abundance,,,0.77259662
AT1G06160,,regulates,AT4G25580,,8hr,TF-Abundance,,,0.731597529
AT1G06160,,regulates,AT4G36410,,8hr,TF-Abundance,,,0.768955142
AT1G06160,,regulates,AT5G04310,,8hr,TF-Abundance,,,0.72319865
AT1G06160,,regulates,AT5G12170,,8hr,TF-Abundance,,,0.71787882
AT1G06160,,regulates,AT5G13330,,8hr,TF-Abundance,,,0.780735736
AT1G06160,,regulates,AT5G14780,,8hr,TF-Abundance,,,0.805979351
AT1G06160,,regulates,AT5G23660,,8hr,TF-Abundance,,,0.77964968
AT1G06160,,regulates,AT5G48430,,8hr,TF-Abundance,,,0.810767348
AT1G06160,,regulates,AT5G62470,,8hr,TF-Abundance,,,0.736601304
AT1G07050,,regulates,AT1G02260,,8hr,TF-Abundance,,,0.614120577
AT1G07050,,regulates,AT1G08757,,8hr,TF-Abundance,,,0.771388602
AT1G07050,,regulates,AT1G10760,,8hr,TF-Abundance,,,0.897899227
AT1G07050,,regulates,AT1G20010,,8hr,TF-Abundance,,,0.816116257
