"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"0.0","0.0","0.0","0.0","0","1","1","false","NACA5","15.0","0","0","false","0","AT1G33040","0"
"0.0","0.0","0.0","0.0","0","2","2","false","AT1G69030","15.5","0","0","false","0","AT1G69030","0"
"6.259661583455191","0.05170799742830946","0.15975304521942266","0.0","9","4","2","false","AT1G69580","10.5","2","2","false","0","AT1G69580","6299202"
"0.0","0.0","0.0","0.0","0","3","3","false","BXL7","32.0","0","0","false","0","AT1G78060","0"
"0.0","0.0","0.0","0.0","0","2","2","false","AT2G18690","20.5","0","0","false","0","AT2G18690","0"
"0.0","0.0","0.0","0.0","0","2","2","false","METK4","38.5","0","0","false","0","AT3G17390","0"
"0.0","0.0","0.0","0.0","0","1","1","false","AT3G23300","15.0","0","0","false","0","AT3G23300","0"
"1.0","0.042587506994275104","1.0","0.0","1","3","2","false","TCP20","27.0","1","0","false","0","AT3G27010","3460263"
"0.0","0.0","0.0","0.0","0","1","1","false","TIF3C1","15.0","0","0","false","0","AT3G56150","0"
"4.438897012742845","3.223922702549944","0.22528118970304487","0.030952380952380953","7","23","7","false","CRF6","14.285714285714286","16","2","false","0","AT3G61630","316023154"
"6.231106471816284","0.0","0.1604851408851811","0.0","9","15","0","false","SUVH1","2.933333333333333","15","0","false","0","AT5G04940","0"
"0.0","0.0","0.0","0.0","0","3","3","false","RPL8A","54.333333333333336","0","0","false","0","AT2G18020","0"
"0.0","0.0","0.0","0.0","0","2","2","false","AT2G39080","30.0","0","0","false","0","AT2G39080","0"
"0.0","0.0","0.0","0.0","0","4","4","false","OASB","49.75","0","0","false","0","AT2G43750","0"
"0.0","0.0","0.0","0.0","0","2","2","false","GATA","31.0","0","0","false","0","AT3G25660","0"
"0.0","0.0","0.0","0.08333333333333333","0","4","4","false","AT3G62530","48.5","0","0","false","0","AT3G62530","0"
"0.0","0.0","0.0","0.0","0","1","1","false","FEY","15.0","0","0","false","0","AT4G27760","0"
"0.0","0.0","0.0","0.0","0","2","2","false","CP31B","53.0","0","0","false","0","AT5G50250","0"
"0.0","0.0","0.0","0.08333333333333333","0","4","4","false","PLR1","59.75","0","0","false","0","AT5G53580","0"
"0.0","0.0","0.0","0.0","0","4","4","false","AT5G60160","29.5","0","0","false","0","AT5G60160","0"
"0.0","0.0","0.0","0.0","0","1","1","false","ACR11","6.0","0","0","false","0","AT1G16880","0"
"5.643827031543764","1.2876992715867313","0.17718473553688419","0.019230769230769232","9","15","2","false","HSFA1B","9.692307692307692","13","2","false","0","AT5G16820","127697815"
"4.689993733026948","3.607509124776084","0.2132199011179903","0.005807200929152149","8","44","5","false","TGA9","7.119047619047619","39","2","false","0","AT1G08320","344901556"
"0.0","0.0","0.0","0.0","0","2","2","false","AT1G49500","12.0","0","0","false","0","AT1G49500","0"
"0.0","0.0","0.0","0.0","0","1","1","false","AT2G22122","13.0","0","0","false","0","AT2G22122","0"
"0.0","0.0","0.0","0.3333333333333333","0","3","3","false","AT4G05150","64.66666666666667","0","0","false","0","AT4G05150","0"
"0.0","0.0","0.0","0.5","0","2","2","false","AT4G07825","27.5","0","0","false","0","AT4G07825","0"
"0.0","0.0","0.0","0.05357142857142857","0","8","8","false","AT4G19410","40.0","0","0","false","0","AT4G19410","0"
"0.0","0.0","0.0","0.0","0","1","1","false","BBX20","13.0","0","0","false","0","AT4G39070","0"
