GeneID,dataset
AT1G18330,GTL1_targets
AT1G18380,GTL1_targets
AT1G18390,GTL1_targets
AT1G18480,GTL1_targets
AT1G18570,GTL1_targets
AT1G18580,GTL1_targets
AT1G18620,GTL1_targets
AT1G18690,GTL1_targets
AT1G18710,GTL1_targets
AT1G18740,GTL1_targets
AT1G18860,GTL1_targets
AT1G18900,GTL1_targets
AT1G18970,GTL1_targets
AT1G18980,GTL1_targets
AT1G19010,GTL1_targets
AT1G19020,GTL1_targets
AT1G19110,GTL1_targets
AT1G19180,GTL1_targets
AT1G19190,GTL1_targets
AT1G19200,GTL1_targets
AT1G19220,GTL1_targets
AT1G19230,GTL1_targets
AT1G19320,GTL1_targets
AT1G19340,GTL1_targets
AT1G19350,GTL1_targets
AT1G19360,GTL1_targets
AT1G19371,GTL1_targets
AT1G19440,GTL1_targets
AT1G19490,GTL1_targets
AT1G19580,GTL1_targets
AT1G19680,GTL1_targets
AT1G19710,GTL1_targets
AT1G19770,GTL1_targets
AT1G19835,GTL1_targets
AT1G19840,GTL1_targets
AT1G19850,GTL1_targets
AT1G19860,GTL1_targets
AT1G19870,GTL1_targets
AT1G19890,GTL1_targets
AT1G19910,GTL1_targets
AT1G19960,GTL1_targets
AT1G20015,GTL1_targets
AT1G20050,GTL1_targets
AT1G20080,GTL1_targets
AT1G20090,GTL1_targets
AT1G20110,GTL1_targets
AT1G20140,GTL1_targets
AT1G20310,GTL1_targets
AT1G20320,GTL1_targets
AT1G20350,GTL1_targets
AT1G20420,GTL1_targets
AT1G20430,GTL1_targets
AT1G20460,GTL1_targets
AT1G20480,GTL1_targets
AT1G20620,GTL1_targets
AT1G20630,GTL1_targets
AT1G20640,GTL1_targets
AT1G20650,GTL1_targets
AT1G20693,GTL1_targets
AT1G20696,GTL1_targets
AT1G20700,GTL1_targets
AT1G20823,GTL1_targets
AT1G20830,GTL1_targets
AT1G20840,GTL1_targets
AT1G20850,GTL1_targets
AT1G20900,GTL1_targets
AT1G20970,GTL1_targets
AT1G20980,GTL1_targets
AT1G21000,GTL1_targets
AT1G21010,GTL1_targets
AT1G21090,GTL1_targets
AT1G21100,GTL1_targets
AT1G21310,GTL1_targets
AT1G21326,GTL1_targets
AT1G21360,GTL1_targets
AT1G21370,GTL1_targets
AT1G21395,GTL1_targets
AT1G21410,GTL1_targets
AT1G21450,GTL1_targets
AT1G21528,GTL1_targets
AT1G21560,GTL1_targets
AT1G21610,GTL1_targets
AT1G21670,GTL1_targets
AT1G21740,GTL1_targets
AT1G21750,GTL1_targets
AT1G21840,GTL1_targets
AT1G21910,GTL1_targets
AT1G21920,GTL1_targets
AT1G21980,GTL1_targets
AT1G22050,GTL1_targets
AT1G22060,GTL1_targets
AT1G22100,GTL1_targets
AT1G22150,GTL1_targets
AT1G22170,GTL1_targets
AT1G22180,GTL1_targets
AT1G22190,GTL1_targets
AT1G22220,GTL1_targets
AT1G22230,GTL1_targets
AT1G22240,GTL1_targets
AT1G22280,GTL1_targets
AT1G22330,GTL1_targets
AT1G22335,GTL1_targets
AT1G22410,GTL1_targets
AT1G22440,GTL1_targets
AT1G22460,GTL1_targets
AT1G22470,GTL1_targets
AT1G22490,GTL1_targets
AT1G22500,GTL1_targets
AT1G22540,GTL1_targets
AT1G22590,GTL1_targets
AT1G22610,GTL1_targets
AT1G22640,GTL1_targets
AT1G22710,GTL1_targets
AT1G22770,GTL1_targets
AT1G22800,GTL1_targets
AT1G22830,GTL1_targets
AT1G22930,GTL1_targets
AT1G22990,GTL1_targets
AT1G23000,GTL1_targets
AT1G23010,GTL1_targets
AT1G23030,GTL1_targets
AT1G23050,GTL1_targets
AT1G23060,GTL1_targets
AT1G23070,GTL1_targets
AT1G23100,GTL1_targets
AT1G23150,GTL1_targets
AT1G23160,GTL1_targets
AT1G23170,GTL1_targets
AT1G23180,GTL1_targets
AT1G23220,GTL1_targets
AT1G23390,GTL1_targets
AT1G23410,GTL1_targets
AT1G23460,GTL1_targets
AT1G23480,GTL1_targets
AT1G23500,GTL1_targets
AT1G23550,GTL1_targets
AT1G23540,GTL1_targets
AT1G23710,GTL1_targets
AT1G23720,GTL1_targets
AT1G23730,GTL1_targets
AT1G23790,GTL1_targets
AT1G23820,GTL1_targets
AT1G23870,GTL1_targets
AT1G24110,GTL1_targets
AT1G24120,GTL1_targets
AT1G24150,GTL1_targets
AT1G24160,GTL1_targets
AT1G24330,GTL1_targets
AT1G24450,GTL1_targets
AT1G24530,GTL1_targets
AT1G24600,GTL1_targets
AT1G24610,GTL1_targets
AT1G24706,GTL1_targets
AT1G24735,GTL1_targets
AT1G25240,GTL1_targets
AT1G25250,GTL1_targets
AT1G25275,GTL1_targets
AT1G25390,GTL1_targets
AT1G25420,GTL1_targets
AT1G25425,GTL1_targets
AT1G25440,GTL1_targets
AT1G25550,GTL1_targets
AT1G25560,GTL1_targets
AT1G25570,GTL1_targets
AT1G26270,GTL1_targets
AT1G26290,GTL1_targets
AT1G26380,GTL1_targets
AT1G26420,GTL1_targets
AT1G26460,GTL1_targets
AT1G26630,GTL1_targets
